vertInd	nodeInd	vertName
0	-1	root
1	50	internal_0
2	51	internal_1
3	52	internal_2
4	31	Cell_31
5	30	Cell_30
6	53	internal_3
7	54	internal_4
8	4	Cell_4
9	55	internal_5
10	19	Cell_19
11	41	Cell_41
12	56	internal_6
13	48	Cell_48
14	57	internal_7
15	36	Cell_36
16	17	Cell_17
17	58	internal_8
18	59	internal_9
19	60	internal_10
20	12	Cell_12
21	39	Cell_39
22	61	internal_11
23	62	internal_12
24	9	Cell_9
25	8	Cell_8
26	63	internal_13
27	15	Cell_15
28	64	internal_14
29	46	Cell_46
30	35	Cell_35
31	65	internal_15
32	3	Cell_3
33	66	internal_16
34	67	internal_17
35	42	Cell_42
36	68	internal_18
37	29	Cell_29
38	16	Cell_16
39	69	internal_19
40	5	Cell_5
41	70	internal_20
42	33	Cell_33
43	37	Cell_37
44	71	internal_21
45	72	internal_22
46	2	Cell_2
47	73	internal_23
48	18	Cell_18
49	74	internal_24
50	21	Cell_21
51	75	internal_25
52	34	Cell_34
53	76	internal_26
54	23	Cell_23
55	26	Cell_26
56	77	internal_27
57	78	internal_28
58	10	Cell_10
59	79	internal_29
60	1	Cell_1
61	80	internal_30
62	81	internal_31
63	0	Cell_0
64	82	internal_32
65	43	Cell_43
66	13	Cell_13
67	83	internal_33
68	11	Cell_11
69	84	internal_34
70	40	Cell_40
71	85	internal_35
72	6	Cell_6
73	25	Cell_25
74	86	internal_36
75	87	internal_37
76	20	Cell_20
77	88	internal_38
78	45	Cell_45
79	38	Cell_38
80	89	internal_39
81	44	Cell_44
82	90	internal_40
83	91	internal_41
84	24	Cell_24
85	92	internal_42
86	22	Cell_22
87	93	internal_43
88	14	Cell_14
89	49	Cell_49
90	94	internal_44
91	95	internal_45
92	27	Cell_27
93	47	Cell_47
94	96	internal_46
95	7	Cell_7
96	97	internal_47
97	28	Cell_28
98	32	Cell_32
