vertInd	nodeInd	vertName
0	-1	root
1	50	internal_0
2	51	internal_1
3	52	internal_2
4	53	internal_3
5	12	Cell_12
6	39	Cell_39
7	54	internal_4
8	55	internal_5
9	9	Cell_9
10	8	Cell_8
11	56	internal_6
12	15	Cell_15
13	57	internal_7
14	46	Cell_46
15	35	Cell_35
16	58	internal_8
17	3	Cell_3
18	59	internal_9
19	60	internal_10
20	42	Cell_42
21	61	internal_11
22	29	Cell_29
23	16	Cell_16
24	62	internal_12
25	5	Cell_5
26	63	internal_13
27	33	Cell_33
28	37	Cell_37
29	64	internal_14
30	65	internal_15
31	31	Cell_31
32	30	Cell_30
33	66	internal_16
34	67	internal_17
35	4	Cell_4
36	68	internal_18
37	19	Cell_19
38	41	Cell_41
39	69	internal_19
40	48	Cell_48
41	70	internal_20
42	36	Cell_36
43	17	Cell_17
44	71	internal_21
45	72	internal_22
46	18	Cell_18
47	73	internal_23
48	21	Cell_21
49	74	internal_24
50	34	Cell_34
51	75	internal_25
52	23	Cell_23
53	26	Cell_26
54	2	Cell_2
55	76	internal_26
56	77	internal_27
57	10	Cell_10
58	78	internal_28
59	1	Cell_1
60	79	internal_29
61	80	internal_30
62	11	Cell_11
63	81	internal_31
64	40	Cell_40
65	82	internal_32
66	6	Cell_6
67	25	Cell_25
68	83	internal_33
69	0	Cell_0
70	84	internal_34
71	43	Cell_43
72	13	Cell_13
73	85	internal_35
74	86	internal_36
75	20	Cell_20
76	87	internal_37
77	45	Cell_45
78	38	Cell_38
79	88	internal_38
80	44	Cell_44
81	89	internal_39
82	90	internal_40
83	24	Cell_24
84	91	internal_41
85	22	Cell_22
86	92	internal_42
87	14	Cell_14
88	49	Cell_49
89	93	internal_43
90	94	internal_44
91	27	Cell_27
92	47	Cell_47
93	95	internal_45
94	7	Cell_7
95	96	internal_46
96	28	Cell_28
97	32	Cell_32
