vertInd	nodeInd	vertName
0	-1	root
1	50	internal_0
2	30	Cell_30
3	31	Cell_31
4	51	internal_1
5	52	internal_2
6	10	Cell_10
7	53	internal_3
8	1	Cell_1
9	54	internal_4
10	55	internal_5
11	13	Cell_13
12	43	Cell_43
13	56	internal_6
14	0	Cell_0
15	57	internal_7
16	40	Cell_40
17	58	internal_8
18	11	Cell_11
19	59	internal_9
20	6	Cell_6
21	25	Cell_25
22	60	internal_10
23	61	internal_11
24	62	internal_12
25	63	internal_13
26	24	Cell_24
27	64	internal_14
28	49	Cell_49
29	65	internal_15
30	14	Cell_14
31	22	Cell_22
32	66	internal_16
33	67	internal_17
34	27	Cell_27
35	47	Cell_47
36	68	internal_18
37	7	Cell_7
38	69	internal_19
39	28	Cell_28
40	32	Cell_32
41	44	Cell_44
42	70	internal_20
43	20	Cell_20
44	71	internal_21
45	38	Cell_38
46	45	Cell_45
47	72	internal_22
48	2	Cell_2
49	73	internal_23
50	18	Cell_18
51	74	internal_24
52	21	Cell_21
53	75	internal_25
54	34	Cell_34
55	76	internal_26
56	23	Cell_23
57	26	Cell_26
58	77	internal_27
59	78	internal_28
60	79	internal_29
61	3	Cell_3
62	80	internal_30
63	15	Cell_15
64	81	internal_31
65	82	internal_32
66	42	Cell_42
67	83	internal_33
68	16	Cell_16
69	29	Cell_29
70	84	internal_34
71	5	Cell_5
72	85	internal_35
73	33	Cell_33
74	37	Cell_37
75	86	internal_36
76	87	internal_37
77	12	Cell_12
78	39	Cell_39
79	88	internal_38
80	89	internal_39
81	35	Cell_35
82	46	Cell_46
83	90	internal_40
84	8	Cell_8
85	9	Cell_9
86	91	internal_41
87	92	internal_42
88	4	Cell_4
89	93	internal_43
90	19	Cell_19
91	41	Cell_41
92	94	internal_44
93	48	Cell_48
94	95	internal_45
95	17	Cell_17
96	36	Cell_36
