vertInd	nodeInd	vertName
0	-1	root
1	0	Cell_0
2	1	Cell_1
3	2	Cell_2
4	3	Cell_3
5	4	Cell_4
6	5	Cell_5
7	6	Cell_6
8	7	Cell_7
9	8	Cell_8
10	9	Cell_9
11	10	Cell_10
12	11	Cell_11
13	12	Cell_12
14	13	Cell_13
15	14	Cell_14
16	15	Cell_15
17	16	Cell_16
18	17	Cell_17
19	18	Cell_18
20	19	Cell_19
21	20	Cell_20
22	21	Cell_21
23	22	Cell_22
24	23	Cell_23
25	24	Cell_24
26	25	Cell_25
27	26	Cell_26
28	27	Cell_27
29	28	Cell_28
30	29	Cell_29
31	30	Cell_30
32	31	Cell_31
33	32	Cell_32
34	33	Cell_33
35	34	Cell_34
36	35	Cell_35
37	36	Cell_36
38	37	Cell_37
39	38	Cell_38
40	39	Cell_39
41	40	Cell_40
42	41	Cell_41
43	42	Cell_42
44	43	Cell_43
45	44	Cell_44
46	45	Cell_45
47	46	Cell_46
48	47	Cell_47
49	48	Cell_48
50	49	Cell_49
